"filename", "language", "JSON", "Ignore", "JavaScript", "Environment Variables", "Markdown", "TypeScript", "Batch", "JSON with Comments", "Properties", "comment", "blank", "total"
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\code_of_conduct.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 35, 128
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\code_of_conduct.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 35, 128
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\main.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, -2
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\package-lock.json", "JSON", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\discord\package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\discord\bot.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\discord\commands.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\database\connection.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\database\usage.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\form-validation\email.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\form-validation\fields.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\form-validation\password.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\form-validation\usage.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\axios.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\fetch.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\httpclient.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\interceptors.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\packages\kits\http-client\usage.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\documentation\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\eslint.config.mjs", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\example.env", "Environment Variables", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\example.gitignore", "Ignore", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\guide\discord\guide.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\guide\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\code_of_conduct.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 35, 128
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\src\validations\EmailValidator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\src\validations\PasswordStrengthValidator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\form-validation\src\validations\RequiredFieldValidator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"c:\Users\jelly\OneDrive\Desktop\GitScripts\avrnos\kits\http-client\code_of_conduct.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 35, 128
